Medium,Phenomenon,Label,Frequency_Hz,Speed_m_s,Slowness_s_m,Wavelength_m,EM_Index_or_sqrt_epsr,EM_Impedance_ohm,Model,Mech_Impedance_Rayl,Mass_Density_kg_m3
EARTH/granite,EM,Power (wireless idea),60.0,127831933.6072185,7.822771445143276e-09,2130532.2267869753,2.345207879911715,160.63834540584634,granite_rf_epsr~5.5,,
EARTH/granite,EM,LF comms,100000.0,127831933.6072185,7.822771445143276e-09,1278.319336072185,2.345207879911715,160.63834540584634,granite_rf_epsr~5.5,,
EARTH/granite,EM,RF (FM band),100000000.0,127831933.6072185,7.822771445143276e-09,1.278319336072185,2.345207879911715,160.63834540584634,granite_rf_epsr~5.5,,
EARTH/granite,EM,Wi‑Fi 2.4,2400000000.0,127831933.6072185,7.822771445143276e-09,0.053263305669674375,2.345207879911715,160.63834540584634,granite_rf_epsr~5.5,,
EARTH/granite,EM,Green light,550000000000000.0,187370286.25,5.337025523170433e-09,3.406732477272727e-07,1.6,235.45644591360664,granite_optical_n~1.6,,
AIR,EM,Power (wireless idea),60.0,299696902.5696925,3.3367044885205538e-09,4994948.376161542,1.0003188402332095,376.61023496662483,air_n_from_refractivity,,
AIR,EM,LF comms,100000.0,299696902.5696925,3.3367044885205538e-09,2996.9690256969247,1.0003188402332095,376.61023496662483,air_n_from_refractivity,,
AIR,EM,RF (FM band),100000000.0,299696902.5696925,3.3367044885205538e-09,2.996969025696925,1.0003188402332095,376.61023496662483,air_n_from_refractivity,,
AIR,EM,Wi‑Fi 2.4,2400000000.0,299696902.5696925,3.3367044885205538e-09,0.12487370940403854,1.0003188402332095,376.61023496662483,air_n_from_refractivity,,
AIR,EM,Green light,550000000000000.0,299696902.5696925,3.3367044885205538e-09,5.449034592176227e-07,1.0003188402332095,376.61023496662483,air_n_from_refractivity,,
FIRE,EM,Power (wireless idea),60.0,266845345.12174445,3.747489016695285e-09,4447422.418695741,1.1234689436430825,335.3277503516421,hot_air_n_from_refractivity,,
FIRE,EM,LF comms,100000.0,266845345.12174445,3.747489016695285e-09,2668.4534512174446,1.1234689436430825,335.3277503516421,hot_air_n_from_refractivity,,
FIRE,EM,RF (FM band),100000000.0,266845345.12174445,3.747489016695285e-09,2.6684534512174447,1.1234689436430825,335.3277503516421,hot_air_n_from_refractivity,,
FIRE,EM,Wi‑Fi 2.4,2400000000.0,266845345.12174445,3.747489016695285e-09,0.11118556046739353,1.1234689436430825,335.3277503516421,hot_air_n_from_refractivity,,
FIRE,EM,Green light,550000000000000.0,266845345.12174445,3.747489016695285e-09,4.851733547668081e-07,1.1234689436430825,335.3277503516421,hot_air_n_from_refractivity,,
WATER,EM,Power (wireless idea),60.0,33517815.761487532,2.9834879668651164e-08,558630.2626914589,8.94427190999916,42.11972950426616,water_rf_epsr~80,,
WATER,EM,LF comms,100000.0,33517815.761487532,2.9834879668651164e-08,335.1781576148753,8.94427190999916,42.11972950426616,water_rf_epsr~80,,
WATER,EM,RF (FM band),100000000.0,33517815.761487532,2.9834879668651164e-08,0.33517815761487535,8.94427190999916,42.11972950426616,water_rf_epsr~80,,
WATER,EM,Wi‑Fi 2.4,2400000000.0,33517815.761487532,2.9834879668651164e-08,0.013965756567286472,8.94427190999916,42.11972950426616,water_rf_epsr~80,,
WATER,EM,Green light,550000000000000.0,224900568.64216053,4.446409388991367e-09,4.0891012480392823e-07,1.333,282.61838969375145,water_optical_n~1.333,,
EARTH/granite,Sound/Vibration,Vibration (infrasound),10.0,5163.977794943223,0.00019364916731037083,516.3977794943223,,,,13942740.046346702,2700.0
EARTH/granite,Sound/Vibration,Bass,100.0,5163.977794943223,0.00019364916731037083,51.63977794943223,,,,13942740.046346702,2700.0
EARTH/granite,Sound/Vibration,Mid,1000.0,5163.977794943223,0.00019364916731037083,5.163977794943222,,,,13942740.046346702,2700.0
EARTH/granite,Sound/Vibration,Presence,4000.0,5163.977794943223,0.00019364916731037083,1.2909944487358056,,,,13942740.046346702,2700.0
EARTH/granite,Sound/Vibration,Air,10000.0,5163.977794943223,0.00019364916731037083,0.5163977794943223,,,,13942740.046346702,2700.0
AIR,Sound/Vibration,Vibration (infrasound),10.0,344.04,0.0029066387629345424,34.404,,,,412.45100614115415,1.1988460822612317
AIR,Sound/Vibration,Bass,100.0,344.04,0.0029066387629345424,3.4404000000000003,,,,412.45100614115415,1.1988460822612317
AIR,Sound/Vibration,Mid,1000.0,344.04,0.0029066387629345424,0.34404,,,,412.45100614115415,1.1988460822612317
AIR,Sound/Vibration,Presence,4000.0,344.04,0.0029066387629345424,0.08601,,,,412.45100614115415,1.1988460822612317
AIR,Sound/Vibration,Air,10000.0,344.04,0.0029066387629345424,0.034404000000000004,,,,412.45100614115415,1.1988460822612317
FIRE,Sound/Vibration,Vibration (infrasound),10.0,756.7945415177095,0.001321362595975594,75.67945415177095,,,,-49284.77965867765,-65.12306439187545
FIRE,Sound/Vibration,Bass,100.0,756.7945415177095,0.001321362595975594,7.567945415177095,,,,-49284.77965867765,-65.12306439187545
FIRE,Sound/Vibration,Mid,1000.0,756.7945415177095,0.001321362595975594,0.7567945415177095,,,,-49284.77965867765,-65.12306439187545
FIRE,Sound/Vibration,Presence,4000.0,756.7945415177095,0.001321362595975594,0.18919863537942738,,,,-49284.77965867765,-65.12306439187545
FIRE,Sound/Vibration,Air,10000.0,756.7945415177095,0.001321362595975594,0.07567945415177095,,,,-49284.77965867765,-65.12306439187545
WATER,Sound/Vibration,Vibration (infrasound),10.0,1484.576417990511,0.0006735928092900582,148.4576417990511,,,,1481904.180438128,998.2
WATER,Sound/Vibration,Bass,100.0,1484.576417990511,0.0006735928092900582,14.845764179905109,,,,1481904.180438128,998.2
WATER,Sound/Vibration,Mid,1000.0,1484.576417990511,0.0006735928092900582,1.484576417990511,,,,1481904.180438128,998.2
WATER,Sound/Vibration,Presence,4000.0,1484.576417990511,0.0006735928092900582,0.37114410449762775,,,,1481904.180438128,998.2
WATER,Sound/Vibration,Air,10000.0,1484.576417990511,0.0006735928092900582,0.14845764179905108,,,,1481904.180438128,998.2
